datum,PTE,periode_van,periode_tm,indicatie noodvermogen op,indicatie noodvermogen af,opregelen,Afregelen,prikkelcomponent,Afnemen,invoeden,regeltoestand
19/11/2023,1,00:00,00:15,,,181.42,-21.77,0,181.42,181.42,1
19/11/2023,2,00:15,00:30,,,115.51,,0,115.51,115.51,1
19/11/2023,3,00:30,00:45,,,,-21.14,0,-21.14,-21.14,-1
19/11/2023,4,00:45,01:00,,,85.78,-21.29,0,85.78,85.78,1
19/11/2023,5,01:00,01:15,,,108.7,,0,108.7,108.7,1
19/11/2023,6,01:15,01:30,,,110.4,,0,110.4,110.4,1
19/11/2023,7,01:30,01:45,,,97.9,,0,97.9,97.9,1
19/11/2023,8,01:45,02:00,,,,,0,12.24,12.24,0
19/11/2023,9,02:00,02:15,,,113.51,,0,113.51,113.51,1
19/11/2023,10,02:15,02:30,,,87.41,,0,87.41,87.41,1
19/11/2023,11,02:30,02:45,,,74.27,,0,74.27,74.27,1
19/11/2023,12,02:45,03:00,,,66.82,,0,66.82,66.82,1
19/11/2023,13,03:00,03:15,,,,,0,36.38,36.38,0
19/11/2023,14,03:15,03:30,,,,,0,35.38,35.38,0
19/11/2023,15,03:30,03:45,,,,,0,36.38,36.38,0
19/11/2023,16,03:45,04:00,,,,-10.77,0,-10.77,-10.77,-1
19/11/2023,17,04:00,04:15,,,,,0,29.76,29.76,0
19/11/2023,18,04:15,04:30,,,,,0,29.18,29.18,0
19/11/2023,19,04:30,04:45,,,,,0,44.03,44.03,0
19/11/2023,20,04:45,05:00,,,,,0,17.51,17.51,0
19/11/2023,21,05:00,05:15,,,70.59,,0,70.59,70.59,1
19/11/2023,22,05:15,05:30,,,,,0,32.53,32.53,0
19/11/2023,23,05:30,05:45,,,,,0,19.36,19.36,0
19/11/2023,24,05:45,06:00,,,,-5.53,0,-5.53,-5.53,-1
19/11/2023,25,06:00,06:15,,,,-26.77,0,-26.77,-26.77,-1
19/11/2023,26,06:15,06:30,,,,-10.77,0,-10.77,-10.77,-1
19/11/2023,27,06:30,06:45,,,68.73,,0,68.73,68.73,1
19/11/2023,28,06:45,07:00,,,83.81,,0,83.81,83.81,1
19/11/2023,29,07:00,07:15,,,72.68,-28.61,0,72.68,-28.61,2
19/11/2023,30,07:15,07:30,,,72.29,-64.91,0,72.29,72.29,1
19/11/2023,31,07:30,07:45,,,67.22,-26.78,0,67.22,-26.78,2
19/11/2023,32,07:45,08:00,,,,,0,28.82,28.82,0
19/11/2023,33,08:00,08:15,,,,,0,47.49,47.49,0
19/11/2023,34,08:15,08:30,,,,-27.93,0,-27.93,-27.93,-1
19/11/2023,35,08:30,08:45,,,,-5.74,0,-5.74,-5.74,-1
19/11/2023,36,08:45,09:00,,,100.51,-28.61,0,100.51,-28.61,2
19/11/2023,37,09:00,09:15,,,261.55,,0,261.55,261.55,1
19/11/2023,38,09:15,09:30,,,93.95,-48.31,0,93.95,-48.31,2
19/11/2023,39,09:30,09:45,,,80.82,-97.71,0,80.82,-97.71,2
19/11/2023,40,09:45,10:00,,,108.7,-66.91,0,108.7,-66.91,2
19/11/2023,41,10:00,10:15,,,103.51,-5.53,0,103.51,-5.53,2
19/11/2023,42,10:15,10:30,,,83.41,-41.49,0,83.41,-41.49,2
19/11/2023,43,10:30,10:45,,,252.51,-41.49,0,252.51,-41.49,2
19/11/2023,44,10:45,11:00,,,72.64,-5.75,0,72.64,-5.75,2
