datum,PTE,periode_van,periode_tm,indicatie noodvermogen op,indicatie noodvermogen af,opregelen,Afregelen,prikkelcomponent,Afnemen,invoeden,regeltoestand
10/12/2023,1,00:00,00:15,,,80.83,-40.53,0,80.83,80.83,1
10/12/2023,2,00:15,00:30,,,80.94,-5.59,0,80.94,-5.59,2
10/12/2023,3,00:30,00:45,,,,-5.59,0,-5.59,-5.59,-1
10/12/2023,4,00:45,01:00,,,,-15.08,0,-15.08,-15.08,-1
10/12/2023,5,01:00,01:15,,,,-14.16,0,-14.16,-14.16,-1
10/12/2023,6,01:15,01:30,,,,-15.08,0,-15.08,-15.08,-1
10/12/2023,7,01:30,01:45,,,,-10.48,0,-10.48,-10.48,-1
10/12/2023,8,01:45,02:00,,,,-24.31,0,-24.31,-24.31,-1
10/12/2023,9,02:00,02:15,,,,-5.59,0,-5.59,-5.59,-1
10/12/2023,10,02:15,02:30,,,,-14.95,0,-14.95,-14.95,-1
10/12/2023,11,02:30,02:45,,,,-10.45,0,-10.45,-10.45,-1
10/12/2023,12,02:45,03:00,,,,-10.45,0,-10.45,-10.45,-1
10/12/2023,13,03:00,03:15,,,,-10.28,0,-10.28,-10.28,-1
10/12/2023,14,03:15,03:30,,,,-24.13,0,-24.13,-24.13,-1
10/12/2023,15,03:30,03:45,,,,-15.04,0,-15.04,-15.04,-1
10/12/2023,16,03:45,04:00,,,,-10.48,0,-10.48,-10.48,-1
10/12/2023,17,04:00,04:15,,,,-7.49,0,-7.49,-7.49,-1
10/12/2023,18,04:15,04:30,,,,-5.27,0,-5.27,-5.27,-1
10/12/2023,19,04:30,04:45,,,,,0,31.28,31.28,0
10/12/2023,20,04:45,05:00,,,91.94,,0,91.94,91.94,1
10/12/2023,21,05:00,05:15,,,172.59,,0,172.59,172.59,1
10/12/2023,22,05:15,05:30,,,169.62,,0,169.62,169.62,1
10/12/2023,23,05:30,05:45,,,150.94,,0,150.94,150.94,1
10/12/2023,24,05:45,06:00,,,114.88,,0,114.88,114.88,1
10/12/2023,25,06:00,06:15,,,80.94,,0,80.94,80.94,1
10/12/2023,26,06:15,06:30,,,78.94,,0,78.94,78.94,1
10/12/2023,27,06:30,06:45,,,83.31,,0,83.31,83.31,1
10/12/2023,28,06:45,07:00,,,83.31,-5.59,0,-5.59,-5.59,-1
10/12/2023,29,07:00,07:15,,,,-14.16,0,-14.16,-14.16,-1
10/12/2023,30,07:15,07:30,,,,-28.29,0,-28.29,-28.29,-1
10/12/2023,31,07:30,07:45,,,,-40.31,0,-40.31,-40.31,-1
