Datum,ISP,Volume,Start,Einde,Afregelen,Opregelen
28/11/2023,1,10,00:00,00:15,79.53,107.7
28/11/2023,1,20,00:00,00:15,77.21,107.7
28/11/2023,1,30,00:00,00:15,77.21,107.7
28/11/2023,1,40,00:00,00:15,73.96,109.7
28/11/2023,1,50,00:00,00:15,73.96,112.96
28/11/2023,1,60,00:00,00:15,73.96,113.96
28/11/2023,1,70,00:00,00:15,64.53,113.96
28/11/2023,1,80,00:00,00:15,49.53,119.7
28/11/2023,1,90,00:00,00:15,29.53,125.96
28/11/2023,1,100,00:00,00:15,-10.47,129.7
28/11/2023,1,110,00:00,00:15,-20.41,150.7
28/11/2023,1,120,00:00,00:15,-20.41,150.7
28/11/2023,1,130,00:00,00:15,-30.16,150.7
28/11/2023,1,140,00:00,00:15,-30.16,150.7
28/11/2023,1,150,00:00,00:15,-30.16,150.7
28/11/2023,1,160,00:00,00:15,-43.17,150.7
28/11/2023,1,170,00:00,00:15,-43.17,150.7
28/11/2023,1,180,00:00,00:15,-59.43,150.7
28/11/2023,1,190,00:00,00:15,-59.43,204.7
28/11/2023,1,200,00:00,00:15,-59.43,262.49
28/11/2023,1,210,00:00,00:15,-78.93,277.41
28/11/2023,1,220,00:00,00:15,-78.93,277.41
28/11/2023,1,230,00:00,00:15,-113.61,277.41
28/11/2023,1,240,00:00,00:15,-113.61,277.41
28/11/2023,1,250,00:00,00:15,-113.61,277.41
28/11/2023,1,260,00:00,00:15,-139.61,277.41
28/11/2023,1,270,00:00,00:15,-139.61,277.41
28/11/2023,1,280,00:00,00:15,-168.87,277.41
28/11/2023,1,290,00:00,00:15,-168.87,283.41
28/11/2023,1,300,00:00,00:15,-168.87,302.7
28/11/2023,1,310,00:00,00:15,-191.28,302.7
28/11/2023,1,320,00:00,00:15,-204.8,302.7
28/11/2023,1,330,00:00,00:15,-218.85,304.7
28/11/2023,1,340,00:00,00:15,-233.41,319.69
28/11/2023,1,350,00:00,00:15,-267.18,319.69
28/11/2023,1,360,00:00,00:15,-267.18,319.69
28/11/2023,1,370,00:00,00:15,-267.18,343
28/11/2023,1,380,00:00,00:15,-267.18,566.76
28/11/2023,1,390,00:00,00:15,-267.18,566.76
28/11/2023,1,400,00:00,00:15,-267.18,566.76
28/11/2023,1,408,00:00,00:15,,604.7
28/11/2023,1,410,00:00,00:15,-267.18,
28/11/2023,1,420,00:00,00:15,-267.18,
28/11/2023,1,430,00:00,00:15,-267.18,
28/11/2023,1,440,00:00,00:15,-267.18,
28/11/2023,1,450,00:00,00:15,-267.18,
28/11/2023,1,460,00:00,00:15,-267.18,
28/11/2023,1,470,00:00,00:15,-267.18,
28/11/2023,1,480,00:00,00:15,-267.18,
28/11/2023,1,490,00:00,00:15,-267.18,
28/11/2023,1,500,00:00,00:15,-267.18,
28/11/2023,1,510,00:00,00:15,-267.18,
28/11/2023,1,520,00:00,00:15,-267.18,
28/11/2023,1,530,00:00,00:15,-267.18,
28/11/2023,1,540,00:00,00:15,-267.18,
28/11/2023,1,550,00:00,00:15,-267.18,
28/11/2023,1,560,00:00,00:15,-267.18,
28/11/2023,1,570,00:00,00:15,-267.18,
28/11/2023,1,580,00:00,00:15,-267.18,
28/11/2023,1,590,00:00,00:15,-267.18,
28/11/2023,1,600,00:00,00:15,-267.18,
28/11/2023,1,610,00:00,00:15,-267.18,
28/11/2023,1,620,00:00,00:15,-267.18,
28/11/2023,1,630,00:00,00:15,-267.18,
28/11/2023,1,640,00:00,00:15,-267.18,
28/11/2023,1,650,00:00,00:15,-267.18,
28/11/2023,1,660,00:00,00:15,-267.18,
28/11/2023,1,670,00:00,00:15,-267.18,
28/11/2023,1,680,00:00,00:15,-267.18,
28/11/2023,1,690,00:00,00:15,-267.18,
28/11/2023,1,700,00:00,00:15,-267.18,
28/11/2023,1,710,00:00,00:15,-267.18,
28/11/2023,1,720,00:00,00:15,-267.18,
28/11/2023,1,730,00:00,00:15,-267.18,
28/11/2023,1,740,00:00,00:15,-267.18,
28/11/2023,1,750,00:00,00:15,-267.18,
28/11/2023,1,760,00:00,00:15,-268.75,
28/11/2023,1,770,00:00,00:15,-268.75,
28/11/2023,1,780,00:00,00:15,-268.75,
28/11/2023,1,790,00:00,00:15,-268.75,
28/11/2023,1,800,00:00,00:15,-268.75,
28/11/2023,1,810,00:00,00:15,-268.75,
28/11/2023,1,820,00:00,00:15,-268.75,
28/11/2023,1,830,00:00,00:15,-268.75,
28/11/2023,1,840,00:00,00:15,-268.75,
28/11/2023,1,850,00:00,00:15,-268.75,
28/11/2023,1,860,00:00,00:15,-268.75,
28/11/2023,1,870,00:00,00:15,-268.75,
28/11/2023,1,880,00:00,00:15,-268.75,
28/11/2023,1,890,00:00,00:15,-268.75,
28/11/2023,1,900,00:00,00:15,-268.75,
28/11/2023,1,910,00:00,00:15,-268.75,
28/11/2023,1,920,00:00,00:15,-268.75,
28/11/2023,1,930,00:00,00:15,-268.75,
28/11/2023,1,940,00:00,00:15,-268.75,
28/11/2023,1,950,00:00,00:15,-268.75,
28/11/2023,1,960,00:00,00:15,-268.75,
28/11/2023,1,970,00:00,00:15,-268.75,
28/11/2023,1,980,00:00,00:15,-268.75,
28/11/2023,1,990,00:00,00:15,-268.75,
28/11/2023,1,1000,00:00,00:15,-268.75,
28/11/2023,1,1010,00:00,00:15,-268.75,
28/11/2023,1,1020,00:00,00:15,-268.75,
28/11/2023,1,1030,00:00,00:15,-268.75,
28/11/2023,1,1040,00:00,00:15,-268.75,
28/11/2023,1,1050,00:00,00:15,-268.75,
28/11/2023,1,1060,00:00,00:15,-268.75,
28/11/2023,1,1070,00:00,00:15,-268.75,
28/11/2023,1,1080,00:00,00:15,-268.75,
28/11/2023,1,1090,00:00,00:15,-268.75,
28/11/2023,1,1100,00:00,00:15,-268.75,
28/11/2023,1,1110,00:00,00:15,-268.75,
28/11/2023,1,1120,00:00,00:15,-268.75,
