,EPEX,temperature_forecast,temperature_actual,solar_forecast,solar_actual,wind_forecast,wind_actual,consumption_forecast,consumption_actual,total_forecast,total_actual,Trading_Volume,Allocatie_volume
29/04/2022 00:00,77.74,10,12,16.61463865,15.283848,-2.77660663,-2.374371,25.05923559,27.240714,38.89726761,40.150191,0,40.500703
29/04/2022 00:15,77.74,10,12,16.20910652,15.297364,-2.7389596,-2.327424,24.41602417,26.771992,37.88617109,39.741932,0,40.10492
29/04/2022 00:30,77.74,10,12,15.95707419,15.070992,-2.715765,-2.326424,23.81891,26.233468,37.06021919,38.978036,0,39.347
29/04/2022 00:45,77.74,10,12,15.92309787,14.908742,-2.67973284,-2.44005,23.42044349,25.920127,36.66380852,38.388819,0,38.748701
29/04/2022 01:00,70.49,9,12,15.72786486,14.966181,-2.67345795,-2.569531,23.42348141,25.803656,36.47788832,38.200306,0,38.555215
29/04/2022 01:15,70.49,9,12,15.71542534,14.861828,-2.6178365,-2.436795,23.16011187,25.441912,36.25770071,37.866945,0,38.218933
29/04/2022 01:30,70.49,9,12,15.36665734,14.599405,-2.54976945,-2.160585,22.97271232,25.195328,35.78960021,37.634148,0,37.990334
29/04/2022 01:45,70.49,9,11,15.24811678,14.473764,-2.51467902,-1.863683,22.65398815,25.057909,35.38742591,37.66799,0,38.023832
29/04/2022 02:00,67.47,9,11,15.55235278,14.872763,-2.45279292,-1.995336,22.64946641,25.123239,35.74902627,38.000666,0,38.365003
29/04/2022 02:15,67.47,9,11,15.32691458,14.856055,-2.31813494,-2.101377,22.48976712,25.221719,35.49854676,37.976397,0,38.339481
29/04/2022 02:30,67.47,9,11,15.21705919,14.987398,-2.26355255,-2.111881,22.2663722,25.072649,35.21987884,37.948166,0,38.309192
29/04/2022 02:45,67.47,9,11,15.07216548,15.178367,-2.20451106,-1.990014,21.98177661,24.920413,34.84943103,38.108766,0,38.464222
29/04/2022 03:00,64.5,9,11,14.83075174,15.297663,-2.1497814,-1.731271,22.14623939,24.900014,34.82720973,38.466406,0,38.82559
29/04/2022 03:15,64.5,9,11,14.81003699,15.024675,-2.10286298,-1.503983,22.28520703,24.864711,34.99238104,38.385403,0,38.740854
29/04/2022 03:30,64.5,9,11,14.73722304,15.275393,-2.03948057,-1.339108,22.20049108,24.740379,34.89823355,38.676664,0,39.032291
29/04/2022 03:45,64.5,10,11,14.61951158,15.411144,-1.97988899,-1.345866,22.27843606,24.768956,34.91805865,38.834234,0,39.193883
29/04/2022 04:00,68.29,10,11,14.71407366,15.590884,-1.89229424,-1.347919,22.34169974,24.97785,35.16347916,39.220815,0,39.596721
29/04/2022 04:15,68.29,10,11,14.93829249,15.588381,-1.83825806,-1.376903,22.5055389,25.047145,35.60557333,39.258623,0,39.634118
29/04/2022 04:30,68.29,10,11,14.97929916,15.875146,-1.79372067,-1.557303,22.65043007,25.223084,35.83600856,39.540927,0,39.911025
29/04/2022 04:45,68.29,10,13,15.13429537,16.075381,-1.74715347,-1.395475,22.73726579,25.499686,36.12440769,40.179592,0,40.550551
29/04/2022 05:00,80.08,10,13,15.54669452,16.447836,-1.71857944,-1.579091,23.49633452,25.967729,37.3244496,40.836474,0,41.206472
29/04/2022 05:15,80.08,10,13,16.0136468,16.677347,-1.65820501,-1.557166,23.93759003,26.45623,38.29303182,41.576411,0,41.948802
29/04/2022 05:30,80.08,10,13,16.50474024,17.154259,-1.58676168,-1.537939,24.56788778,27.098088,39.48586634,42.714408,0,43.106911
29/04/2022 05:45,80.08,10,13,17.09042068,18.027176,-1.51974339,-1.445822,25.72996222,28.045345,41.30063951,44.626699,0,45.032747
29/04/2022 06:00,97.62,10,13,18.47357292,19.32347,-1.42792528,-0.917577,27.43635089,29.88002,44.48199853,48.285913,0,48.721422
29/04/2022 06:15,97.62,10,13,19.56471589,20.407178,-1.34448363,-0.743495,28.96478233,31.376755,47.18501459,51.040438,0,51.505373
29/04/2022 06:30,97.62,10,13,20.57475078,21.701117,-1.2840128,-0.931424,30.40822299,33.254492,49.69896097,54.024185,0,54.513545
29/04/2022 06:45,97.62,11,13,21.63612341,22.798201,-1.20144202,-0.992106,31.91332033,35.096967,52.34800172,56.903062,0,57.396889
29/04/2022 07:00,118.38,12,13,23.01850397,24.404298,-1.06644594,-0.599551,34.52995922,37.385555,56.48201725,61.190302,0,61.759938
29/04/2022 07:15,118.38,12,13,24.63552196,26.090754,-0.98799929,-0.442828,37.22751881,40.064196,60.87504148,65.712122,0,66.331972
29/04/2022 07:30,118.38,12,13,26.21547609,28.017264,-0.87512639,-0.377802,40.08377917,43.163069,65.42412887,70.802531,0,71.476322
29/04/2022 07:45,118.38,12,14,27.94347429,29.53232,-0.83372502,-0.329113,42.41048273,45.816715,69.520232,75.019922,0,75.715464
29/04/2022 08:00,127.6,12,14,28.99808394,30.985467,-0.73547693,-0.303108,44.56041628,48.057852,72.82302329,78.740211,0,79.459621
29/04/2022 08:15,127.6,12,14,29.4751679,31.330579,-0.62318631,-0.255692,46.10748063,49.840134,74.95946222,80.915021,0,81.627738
29/04/2022 08:30,127.6,12,14,29.17513446,30.333744,-0.54852617,-0.127804,47.50271242,51.403507,76.12932071,81.609447,0,82.338256
29/04/2022 08:45,127.6,13,14,27.90306727,28.079685,-0.48295273,0.005493,48.4869986,52.753508,75.90711314,80.838686,0,81.560755
29/04/2022 09:00,138.28,13,14,25.34885389,25.106783,-0.38996534,-0.002263,49.51222151,53.912776,74.47111006,79.017296,0,79.731879
29/04/2022 09:15,138.28,13,14,21.78862253,21.543337,-0.34134859,-0.003405,50.0009618,54.608679,71.44823574,76.148611,0,76.843376
29/04/2022 09:30,138.28,13,14,18.10677921,16.96632,-0.29981284,-0.002787,50.14429055,54.300448,67.95125692,71.263981,0,71.904842
29/04/2022 09:45,138.28,13,14,14.39171736,12.674647,-0.25808643,0.015009,50.37643397,54.293147,64.5100649,66.982803,0,67.576187
29/04/2022 10:00,139.27,13,14,11.02302125,8.725899,-0.2258157,0.014593,50.98002198,54.690671,61.77722753,63.431163,0,63.998226
29/04/2022 10:15,139.27,13,14,7.27900079,4.38624,-0.20286897,0.01401,51.41448058,54.579254,58.4906124,58.979504,0,59.505589
29/04/2022 10:30,139.27,13,14,3.92565727,-0.19105,-0.18492802,0.014462,51.79406179,54.920312,55.53479104,54.743724,0,55.248848
29/04/2022 10:45,139.27,13,14,1.1052239,-3.029044,-0.16450004,0.014266,52.06532032,54.78046,53.00604418,51.765682,0,52.22914
29/04/2022 11:00,138.51,13,14,-1.53356802,-5.78309,-0.14598627,0.012404,52.27609934,54.624634,50.59654505,48.853948,-10,49.279288
29/04/2022 11:15,138.51,13,15,-3.70517013,-8.555089,-0.11162972,0.015157,52.35567974,54.557435,48.53887989,46.017503,-10,46.406756
29/04/2022 11:30,138.51,13,15,-5.59503565,-10.701993,-0.09984951,0.011832,52.37807567,54.095002,46.68319051,43.404841,-10,43.771938
29/04/2022 11:45,138.51,13,15,-7.00213719,-11.66635,-0.08410542,0.014929,52.11580031,54.002984,45.0295577,42.351563,-10,42.711535
29/04/2022 12:00,135.61,14,15,-8.17413583,-12.47832,-0.05406101,0.012708,51.53906714,53.757524,43.3108703,41.291912,-7.5,41.64506
29/04/2022 12:15,135.61,14,15,-8.75370707,-13.171465,-0.03405116,0.014232,50.87857825,52.846547,42.09082002,39.689314,-7.5,40.039492
29/04/2022 12:30,135.61,14,15,-8.32759463,-12.321279,-0.02705891,0.012453,50.27525087,52.076657,41.92059733,39.767831,-7.5,40.099147
29/04/2022 12:45,135.61,14,16,-7.38739358,-11.187569,-0.01693046,-0.004625,50.13153214,51.966154,42.7272081,40.77396,-7.5,41.110228
29/04/2022 13:00,137.73,15,16,-5.40498241,-9.810465,-0.01877222,0.01153,51.24589652,53.0821,45.82214189,43.283165,-12,43.627087
29/04/2022 13:15,137.73,15,16,-2.8609862,-7.030639,-0.01939941,0.013082,52.15255424,53.827657,49.27216863,46.8101,-12,47.163527
29/04/2022 13:30,137.73,15,16,-0.07730028,-5.583917,-0.0164514,0.013244,52.2614659,54.09965,52.16771422,48.528977,-12,48.908829
29/04/2022 13:45,137.73,15,17,3.05329827,-4.018269,-0.01680059,0.013477,52.10352306,54.27366,55.14002074,50.268868,-12,50.663486
29/04/2022 14:00,144.01,15,17,5.64642324,-0.645255,-0.017367,0.011071,52.15105621,54.223332,57.78011245,53.589148,-5.95,54.052037
29/04/2022 14:15,144.01,15,17,7.84208577,2.958865,-0.01425227,0.009455,52.16811506,54.209023,59.99594856,57.177343,-5.95,57.669614
