From_NL,From_UTC,E_Volume_kWh,Tenant,E_Volume_MWh,Abs_E_Volume_kWh,Abs_E_Volume_MWh
01/12/2023 09:00,01/12/2023 08:00,1248,1,1.248,1248,1.248
01/12/2023 09:00,01/12/2023 08:00,71102,0,71.102,71102,71.102
01/12/2023 09:15,01/12/2023 08:15,1221,1,1.221,1221,1.221
01/12/2023 09:15,01/12/2023 08:15,71129,0,71.129,71129,71.129
01/12/2023 09:30,01/12/2023 08:30,1208,1,1.208,1208,1.208
01/12/2023 09:30,01/12/2023 08:30,71142,0,71.142,71142,71.142
01/12/2023 09:45,01/12/2023 08:45,71192,0,71.192,71192,71.192
01/12/2023 09:45,01/12/2023 08:45,1158,1,1.158,1158,1.158
01/12/2023 10:00,01/12/2023 09:00,1122,1,1.122,1122,1.122
01/12/2023 10:00,01/12/2023 09:00,63303,0,63.303,63303,63.303
01/12/2023 10:15,01/12/2023 09:15,1035,1,1.035,1035,1.035
01/12/2023 10:15,01/12/2023 09:15,63390,0,63.39,63390,63.39
01/12/2023 10:30,01/12/2023 09:30,979,1,0.979,979,0.979
01/12/2023 10:30,01/12/2023 09:30,63446,0,63.446,63446,63.446
01/12/2023 10:45,01/12/2023 09:45,63510,0,63.51,63510,63.51
01/12/2023 10:45,01/12/2023 09:45,915,1,0.915,915,0.915
01/12/2023 11:00,01/12/2023 10:00,56740,0,56.74,56740,56.74
01/12/2023 11:00,01/12/2023 10:00,885,1,0.885,885,0.885
01/12/2023 11:15,01/12/2023 10:15,841,1,0.841,841,0.841
01/12/2023 11:15,01/12/2023 10:15,56784,0,56.784,56784,56.784
01/12/2023 11:30,01/12/2023 10:30,56808,0,56.808,56808,56.808
01/12/2023 11:30,01/12/2023 10:30,817,1,0.817,817,0.817
01/12/2023 11:45,01/12/2023 10:45,797,1,0.797,797,0.797
01/12/2023 11:45,01/12/2023 10:45,56828,0,56.828,56828,56.828
01/12/2023 12:00,01/12/2023 11:00,833,1,0.833,833,0.833
01/12/2023 12:00,01/12/2023 11:00,50792,0,50.792,50792,50.792
01/12/2023 12:15,01/12/2023 11:15,872,1,0.872,872,0.872
01/12/2023 12:15,01/12/2023 11:15,50753,0,50.753,50753,50.753
01/12/2023 12:30,01/12/2023 11:30,50780,0,50.78,50780,50.78
01/12/2023 12:30,01/12/2023 11:30,845,1,0.845,845,0.845
01/12/2023 12:45,01/12/2023 11:45,50773,0,50.773,50773,50.773
01/12/2023 12:45,01/12/2023 11:45,852,1,0.852,852,0.852
01/12/2023 13:00,01/12/2023 12:00,876,1,0.876,876,0.876
01/12/2023 13:00,01/12/2023 12:00,53349,0,53.349,53349,53.349
01/12/2023 13:15,01/12/2023 12:15,53313,0,53.313,53313,53.313
01/12/2023 13:15,01/12/2023 12:15,912,1,0.912,912,0.912
01/12/2023 13:30,01/12/2023 12:30,943,1,0.943,943,0.943
01/12/2023 13:30,01/12/2023 12:30,53282,0,53.282,53282,53.282
01/12/2023 13:45,01/12/2023 12:45,985,1,0.985,985,0.985
01/12/2023 13:45,01/12/2023 12:45,53240,0,53.24,53240,53.24
01/12/2023 14:00,01/12/2023 13:00,1012,1,1.012,1012,1.012
01/12/2023 14:00,01/12/2023 13:00,61363,0,61.363,61363,61.363
01/12/2023 14:15,01/12/2023 13:15,61349,0,61.349,61349,61.349
01/12/2023 14:15,01/12/2023 13:15,1026,1,1.026,1026,1.026
01/12/2023 14:30,01/12/2023 13:30,61298,0,61.298,61298,61.298
01/12/2023 14:30,01/12/2023 13:30,1077,1,1.077,1077,1.077
01/12/2023 14:45,01/12/2023 13:45,1115,1,1.115,1115,1.115
01/12/2023 14:45,01/12/2023 13:45,61260,0,61.26,61260,61.26
01/12/2023 15:00,01/12/2023 14:00,70722,0,70.722,70722,70.722
01/12/2023 15:00,01/12/2023 14:00,1203,1,1.203,1203,1.203
01/12/2023 15:15,01/12/2023 14:15,1277,1,1.277,1277,1.277
01/12/2023 15:15,01/12/2023 14:15,70648,0,70.648,70648,70.648
01/12/2023 15:30,01/12/2023 14:30,1331,1,1.331,1331,1.331
01/12/2023 15:30,01/12/2023 14:30,70594,0,70.594,70594,70.594
01/12/2023 15:45,01/12/2023 14:45,1389,1,1.389,1389,1.389
01/12/2023 15:45,01/12/2023 14:45,70536,0,70.536,70536,70.536
01/12/2023 16:00,01/12/2023 15:00,75581,0,75.581,75581,75.581
01/12/2023 16:00,01/12/2023 15:00,1444,1,1.444,1444,1.444
01/12/2023 16:15,01/12/2023 15:15,75514,0,75.514,75514,75.514
01/12/2023 16:15,01/12/2023 15:15,1511,1,1.511,1511,1.511
01/12/2023 16:30,01/12/2023 15:30,1575,1,1.575,1575,1.575
01/12/2023 16:30,01/12/2023 15:30,75450,0,75.45,75450,75.45
01/12/2023 16:45,01/12/2023 15:45,75376,0,75.376,75376,75.376
01/12/2023 16:45,01/12/2023 15:45,1649,1,1.649,1649,1.649
01/12/2023 17:00,01/12/2023 16:00,1719,1,1.719,1719,1.719
01/12/2023 17:00,01/12/2023 16:00,71931,0,71.931,71931,71.931
01/12/2023 17:15,01/12/2023 16:15,1792,1,1.792,1792,1.792
01/12/2023 17:15,01/12/2023 16:15,71858,0,71.858,71858,71.858
01/12/2023 17:30,01/12/2023 16:30,1851,1,1.851,1851,1.851
01/12/2023 17:30,01/12/2023 16:30,71799,0,71.799,71799,71.799
01/12/2023 17:45,01/12/2023 16:45,71752,0,71.752,71752,71.752
01/12/2023 17:45,01/12/2023 16:45,1898,1,1.898,1898,1.898
01/12/2023 18:00,01/12/2023 17:00,66055,0,66.055,66055,66.055
01/12/2023 18:00,01/12/2023 17:00,1870,1,1.87,1870,1.87
01/12/2023 18:15,01/12/2023 17:15,1845,1,1.845,1845,1.845
01/12/2023 18:15,01/12/2023 17:15,66080,0,66.08,66080,66.08
01/12/2023 18:30,01/12/2023 17:30,66112,0,66.112,66112,66.112
01/12/2023 18:30,01/12/2023 17:30,1813,1,1.813,1813,1.813
01/12/2023 18:45,01/12/2023 17:45,1771,1,1.771,1771,1.771
01/12/2023 18:45,01/12/2023 17:45,66154,0,66.154,66154,66.154
01/12/2023 19:00,01/12/2023 18:00,1752,1,1.752,1752,1.752
01/12/2023 19:00,01/12/2023 18:00,62898,0,62.898,62898,62.898
01/12/2023 19:15,01/12/2023 18:15,1721,1,1.721,1721,1.721
01/12/2023 19:15,01/12/2023 18:15,62929,0,62.929,62929,62.929
01/12/2023 19:30,01/12/2023 18:30,62943,0,62.943,62943,62.943
01/12/2023 19:30,01/12/2023 18:30,1707,1,1.707,1707,1.707
01/12/2023 19:45,01/12/2023 18:45,62962,0,62.962,62962,62.962
01/12/2023 19:45,01/12/2023 18:45,1688,1,1.688,1688,1.688
01/12/2023 20:00,01/12/2023 19:00,1654,1,1.654,1654,1.654
01/12/2023 20:00,01/12/2023 19:00,58171,0,58.171,58171,58.171
01/12/2023 20:15,01/12/2023 19:15,58200,0,58.2,58200,58.2
01/12/2023 20:15,01/12/2023 19:15,1625,1,1.625,1625,1.625
01/12/2023 20:30,01/12/2023 19:30,1592,1,1.592,1592,1.592
01/12/2023 20:30,01/12/2023 19:30,58233,0,58.233,58233,58.233
01/12/2023 20:45,01/12/2023 19:45,1572,1,1.572,1572,1.572
01/12/2023 20:45,01/12/2023 19:45,58253,0,58.253,58253,58.253
01/12/2023 21:00,01/12/2023 20:00,1569,1,1.569,1569,1.569
01/12/2023 21:00,01/12/2023 20:00,52731,0,52.731,52731,52.731
01/12/2023 21:15,01/12/2023 20:15,52758,0,52.758,52758,52.758
01/12/2023 21:15,01/12/2023 20:15,1542,1,1.542,1542,1.542
01/12/2023 21:30,01/12/2023 20:30,1518,1,1.518,1518,1.518
01/12/2023 21:30,01/12/2023 20:30,52782,0,52.782,52782,52.782
01/12/2023 21:45,01/12/2023 20:45,52801,0,52.801,52801,52.801
01/12/2023 21:45,01/12/2023 20:45,1499,1,1.499,1499,1.499
01/12/2023 22:00,01/12/2023 21:00,1465,1,1.465,1465,1.465
01/12/2023 22:00,01/12/2023 21:00,48210,0,48.21,48210,48.21
